null_index,seed,swap_attempts,swap_accepted,mobility_fraction,graph_signature,scale_persistence,time_persistence,stitch_defect,stitch_p90,stitch_max,stitch_n
36,20260941,87245,3986,0.04568743194452404,4fe4036edcf42725ec2a8c4ebd5a8a7c852bd81397ee242f863b6ddf57e8e024,0.349933433183558,0.5064348635301333,0.32678894064366576,1.0,1.0000000000000002,4726
37,20260942,87245,4041,0.046317840563929166,482796fa8805083155abfa714173fc952a491e3197750ecaf1b7bbfdafab511e,0.34939257779996674,0.5069318866787221,0.3273631993792123,1.0,1.0000000000000002,4726
38,20260943,87245,3897,0.04466731617857757,f21a53b90033ed59bcdb04da880a8ff095eae59ebda3a9fcf30dca3f3e3fca3a,0.3496838076219005,0.5072279855757538,0.32965300929684904,1.0,1.0000000000000002,4739
39,20260944,87245,3971,0.045515502321049915,7ccc9dfe25a5612021d9916ce46b3648b6a56fd761497113189b3575a5b144c1,0.34947578632051923,0.5070905110878462,0.33202672477101525,1.0,1.0000000000000002,4751
40,20260945,87245,3843,0.04404836953407072,16284342634657728c2cf29d7c1068bcaf7e5a114c275603e95bbeedb21b9ef9,0.349933433183558,0.507079936127238,0.3227463807465107,1.0,1.0000000000000002,4716
41,20260946,87245,3997,0.04581351366840507,ab6656b861fcea7feeec24f6e8c548c88a0c5d362766ada0de02c4a14eb71e7d,0.3505158928274255,0.5078307583304252,0.3317102057830078,1.0,1.0000000000000002,4727
42,20260947,87245,3922,0.04495386555103444,b79f20c6820b793211240dd93f7f4dce6b34be363fa8648a1dcd857c3f429295,0.3496422033616242,0.5084758309275299,0.3279644592089735,1.0,1.0000000000000002,4739
43,20260948,87245,4000,0.04584789959309989,5dda277121d3b10333f1076fa43b5673d01b293179591f514611b925d0b99466,0.3501830587452155,0.507587534236435,0.3277024667044305,1.0,1.0000000000000002,4739
44,20260949,87245,4068,0.04662731388618259,71c893cc4424feefec165eab6942b17377df873beda4c21d0736d1a3b6809cc3,0.34997503744383424,0.506889586836289,0.33416189336194874,1.0,1.0000000000000002,4752
45,20260950,87245,3969,0.04549257837125337,f93bfc3f8b7aa63fd2cfddb392125d19d8f3375f67fe9fa14ce0fd4a89e0197e,0.349600599101348,0.5071010860484545,0.3289550178996967,1.0,1.0000000000000002,4741
46,20260951,87245,3881,0.04448392458020517,336b9513ecac3de32d0ceb5d8f99758e5edb8d8af95fb05d6b63a1476686557a,0.349267765019138,0.5065617630574326,0.32873397064799614,1.0,1.0000000000000002,4735
47,20260952,87245,3990,0.04573327984411714,1112b2bb0b5d1f91afa0e117a0b18b0eb0b6bc785b08a3d67f220aa4cf86bf1c,0.34947578632051923,0.5066357877816906,0.32245822181602757,1.0,1.0000000000000002,4729
48,20260953,87245,3924,0.04497678950083099,fbf704f185675423f5e929e93a26aa3f7711ff90d80ec27dece608f7790a8d2d,0.35026626726576804,0.5068472869938561,0.3314515043616589,1.0,1.0000000000000002,4743
49,20260954,87245,3995,0.04579058971860852,e4767268630b2635a877774dab3e9e4a1c5d1b30101fe29bbd615dcd5927a34d,0.34980862040272925,0.5078307583304252,0.3357446787636361,1.0,1.0000000000000002,4749
50,20260955,87245,3904,0.0447475500028655,833a4162e430e0fed91f8402d2d15973b9a32a918147f23f48a0a9505d345ff2,0.34910134797803294,0.5066463627422988,0.32760038786265694,1.0,1.0000000000000002,4730
51,20260956,87245,3998,0.04582497564330334,b6e495c346bb998db914f836ada24ed3a3c70eb4e00d4a761e7aaba117018992,0.34939257779996674,0.5069847614817634,0.326989927677897,1.0,1.0000000000000002,4736
52,20260957,87245,3976,0.04557281219554129,e6f4ca61bdaa6fd3573f4c8b976bfa4d1cd3e101fc7ef8a9fd5c4d663a497ac8,0.34997503744383424,0.5069318866787221,0.32819366789111654,1.0,1.0000000000000002,4726
53,20260958,87245,3963,0.045423806521863716,4be630f6e198f4a9caa01c03315a1ab76a325b717b66739ae35cda40896ef27c,0.3484356798136129,0.5057051912481626,0.322700843600919,1.0,1.0000000000000002,4728
54,20260959,87245,3943,0.045194567023898215,77d69651c85d1530c0c4d626235599916808223ddf2ddaaf45bf731d3e7058a9,0.35034947578632053,0.5073971849454861,0.329236101789572,1.0,1.0000000000000002,4739
55,20260960,87245,3949,0.045263338873287866,802ed0335081496e7c334016c334cdcb77e5fa7f7a12701e945b94fb64c2f4be,0.34943418206024296,0.5080845573850238,0.3255667845728199,1.0,1.0000000000000002,4735
56,20260961,87245,3977,0.045584274170439566,88e3bb9326a19d19d40bd4a5d0fff0bf997d524a7c07d372440116e8ea4ec77f,0.3491429522383092,0.5081057073062403,0.3286994670671436,1.0,1.0000000000000002,4754
57,20260962,87245,4005,0.04590520946759127,7e553b72404cde1e069b26cf3f9c2a83ffb98a2e254c7128a97c2e2838ba539b,0.3500166417041105,0.506381988727092,0.3292180942249776,1.0,1.0000000000000002,4737
58,20260963,87245,3973,0.04553842627084647,963dd02a3de26170c4cc94bc7d17ad5ceb66da83bc52595a7ddfef602d3b52af,0.35022466300549177,0.5085287057305712,0.33455608817198185,1.0,1.0000000000000002,4741
59,20260964,87245,3986,0.04568743194452404,194d780d8142c6b97882e454aaf0f605dc51a4c4cd5c843c4257a7bcbe66ed0a,0.34997503744383424,0.5076298340788681,0.32423606524544857,1.0,1.0000000000000002,4725
60,20260965,87245,3937,0.04512579517450857,44ed8c00bf8e523e9e2b07a958908b8d9e075a8ba6b36dff88ad9544918f7dbb,0.34939257779996674,0.506889586836289,0.3310195052924467,1.0,1.0000000000000002,4742
61,20260966,87245,4052,0.04644392228781019,0ecbe412d3355b0fd9587b846e16e9b5093dec405f25a6f7822b4f5f5497d5af,0.3500166417041105,0.5064665884119581,0.32577794972927343,1.0,1.0000000000000002,4718
62,20260967,87245,3850,0.044128603358358644,ba05ba379cbd3bc91dd0c7b604493003b1927e9729363136f56b275b171e80e9,0.349600599101348,0.506730962427165,0.3297666711317943,1.0,1.0000000000000002,4729
63,20260968,87245,4033,0.04622614476474297,06748d6362096d0e5d4096d692a1e33758b6248f9d559ab5fa886f1362ca2492,0.34860209685471794,0.5071539608514959,0.328105728067161,1.0,1.0000000000000002,4738
64,20260969,87245,3989,0.04572181786921887,3289322959e9593f498ce47bfb27026c62f4ab684008b8367fff68125b2d964e,0.349767016142453,0.5077144337637343,0.3270293242087326,1.0,1.0000000000000002,4731
65,20260970,87245,3833,0.04393374978508797,8788a0b41fb87f269eac8761296aa462c37ad3e4f324e5850908bd1b9a663e37,0.3488517224163754,0.5062973890422259,0.3345220598505306,1.0,1.0000000000000002,4738
66,20260971,87245,3984,0.045664507994727495,797352a29abddb012d7913f4d2c972ac9c596e2ff85075f21c987c6269c2561a,0.3486853053752704,0.5056205915632964,0.33175307986996905,1.0,1.0000000000000002,4710
67,20260972,87245,3983,0.04565304601982922,1cd0d596440aef118ae4efe0b52afea949b6b88a658914139cccad25dbaf90a7,0.349267765019138,0.5055782917208633,0.3257693062389845,1.0,1.0000000000000002,4723
68,20260973,87245,3971,0.045515502321049915,e50f1f76868ebecd81a2cb1cb59467c69f4cb331b392d322c3ab5138a8bcb7ba,0.34997503744383424,0.5073231602212283,0.3246276631621211,1.0,1.0000000000000002,4725
69,20260974,87245,3921,0.044942403576136165,6b85db63ee7b621f5fd187447cde23a8a044e277004b6aa23142c660cdec7b6d,0.3493093692794142,0.5066569377029071,0.330495034819686,1.0,1.0000000000000002,4739
70,20260975,87245,3961,0.04540088257206717,cb7465a63d97bf576871412fdbf651c1816933e6284771da57c9672c1f2606af,0.34935097353969047,0.5082537567547561,0.3304453850899979,1.0,1.0000000000000002,4738
71,20260976,87245,4009,0.04595105736718436,0ab9b7397895d982582ab91b6733f8d0bb2f6e05580e65b3a277ee759553b97a,0.3501414544849393,0.5074394847879191,0.3304001829729342,1.0,1.0000000000000002,4734
72,20260977,87245,3900,0.044701702103272394,faf58d0fb0a77befa80be8916227cbdf43de582cd8b66e464fa7186456d94e12,0.34972541188217676,0.5068790118756807,0.3256719339214162,1.0,1.0000000000000002,4752
73,20260978,87245,4045,0.04636368846352226,7e4373d5b5c82a3d2dfc6b79bad048e7a93e7b9021a857120fa9f448a2cc4f50,0.3492261607588617,0.5082960565971891,0.3303698079241679,1.0,1.0000000000000002,4746
74,20260979,87245,3994,0.04577912774371024,d3748c5affb854ae768f34504d46cc111160e05d4d3f713d9c203e0e0003ddc5,0.3490597437177567,0.5081057073062403,0.3292458196927037,1.0,1.0000000000000002,4726
75,20260980,87245,3945,0.04521749097369477,41322aa557889baee509277d18b98ccff038c69d4304a2b74f1479b0a8755b3e,0.34947578632051923,0.506889586836289,0.326960691218795,1.0,1.0000000000000002,4733
76,20260981,87245,4044,0.04635222648862399,05de026f989c74c347d318fd7d855bb6616de3d6c08c29feaf51f4f73d0cf7b8,0.34901813945748045,0.5074606347091357,0.3326842731051034,1.0,1.0000000000000002,4728
