node_id,time_idx,time_value,scale_idx,scale_value,object_id,stitch_defect,enstrophy_mean,enstrophy_integral,q_mean,q_max,strain_sq_mean_proxy,cx,cy,cz,physical_volume,equiv_radius
t06_s01_o000218,6,0.012,1,0.012271881103515625,o000218,0.4410990555019497,1492.6865922095071,0.1958666057972234,566.1122703014964,2173.86962890625,360.46205160651425,0.917236690789881,0.708441868634291,0.740072210070113,0.00013121750193206827,0.03152349673063271
t00_s00_o000221,0,0.0,0,0.0061359405517578125,o000221,0.43290369395086215,2057.254932614192,0.15493485934681245,771.8858457225963,1864.8466796875,513.4832411689995,1.2305195872769032,0.23738184735818876,0.6993654695756597,7.531145357368707e-05,0.026197356706277933
t06_s00_o000007,6,0.012,0,0.0061359405517578125,o000007,0.4312163033642354,1451.755567138672,0.08384495551756582,582.2191622314454,1479.514892578125,287.31724267578124,0.45776570892333984,0.812128547668457,0.20363959503173829,5.775418218841033e-05,0.023979029928781665
t01_s01_o000280,1,0.002,1,0.012271881103515625,o000280,0.4259974419459579,1365.0988392995957,0.5070999545948596,510.15336198949103,1094.19775390625,344.7921153206137,0.563422819868249,0.8702809015909831,0.9389668032897646,0.00037147489983585524,0.044594396229852624
t07_s00_o000049,7,0.014,0,0.0061359405517578125,o000049,0.41479435979681667,1165.4257606300148,0.019923230665121798,480.1927490234375,650.4327392578125,205.0402625831398,0.8417017910931561,0.502981289013012,0.23557036631816144,1.7095237927769458e-05,0.015980689501991715
t02_s01_o000128,2,0.004,1,0.012271881103515625,o000128,0.41105906603356374,1115.8534813449808,0.15054399948074898,495.6881818379441,1049.3800048828125,124.47711766909254,1.3847472961634806,1.0636610919482088,0.4845291686384645,0.00013491376959212653,0.03181675540095718
t01_s00_o000172,1,0.002,0,0.0061359405517578125,o000172,0.4085910887337149,1572.5617515162419,0.04831731352258437,507.07477517952594,740.9793090820312,558.41220115719,0.7615947866798344,0.29798526333687003,0.6009992298326994,3.0725224924234296e-05,0.019429821934575337
t01_s00_o000207,1,0.002,0,0.0061359405517578125,o000207,0.4085910887337149,1789.1814218264574,0.07067957350613042,648.0648798356976,1273.579833984375,493.0516621550621,0.8146806683456688,0.22519978305749724,0.6601697910598844,3.9503860616872666e-05,0.021127607022598305
t06_s00_o000143,6,0.012,0,0.0061359405517578125,o000143,0.4075846964267224,1988.7475402291898,0.05191603646984758,507.4706653156112,786.7012329101562,973.8062095979674,0.16675640207476322,0.24158229659088945,0.46079284532935216,2.610489034916147e-05,0.01840253933419328
t03_s00_o000418,3,0.006,0,0.0061359405517578125,o000418,0.40593693711102036,1985.5859888980262,0.03486147206588574,678.6575409738641,1258.092529296875,628.270906950298,0.2824147375006425,0.7348596171328896,1.2108794262534694,1.755727138527674e-05,0.01612338177989205
