object_id,object_name,supernova_type,band,phase_name,stage_index,alpha,alpha_radius,gap_base,duration_base,slope_base,curvature_base,gap_alpha,duration_alpha,slope_alpha,curvature_alpha,gap_response_norm,duration_response_norm,slope_response_norm,curvature_response_norm,structural_response,phase_persistence_score,boundary_role,support_regime_proxy,alpha_status,instability_flag
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.95,0.05,0.934,78.28,-0.02486856559,-0.07272787704,0.8873,74.366,-0.02362513731,-0.06909148319,0.04096491228,0.04953176411,0.03596667321,0.004239883588,0.03727647766,0.9640631225,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1,0,0.934,78.28,-0.02486856559,-0.07272787704,0.934,78.28,-0.02486856559,-0.07272787704,0,0,0,0,0,1,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.05,0.05,0.934,78.28,-0.02486856559,-0.07272787704,0.9807,82.194,-0.02611199387,-0.07636427089,0.04096491228,0.04953176411,0.03596667321,0.004239883588,0.03727647766,0.9640631225,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.1,0.1,0.934,78.28,-0.02486856559,-0.07272787704,1.0274,86.108,-0.02735542215,-0.08000066474,0.08192982456,0.09906352822,0.07193334641,0.008479767175,0.07455295533,0.9306195614,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.15,0.15,0.934,78.28,-0.02486856559,-0.07272787704,1.0741,90.022,-0.02859885043,-0.0836370586,0.1228947368,0.1485952923,0.1079000196,0.01271965076,0.111829433,0.8994185352,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.2,0.2,0.934,78.28,-0.02486856559,-0.07272787704,1.1208,93.936,-0.02984227871,-0.08727345245,0.1638596491,0.1981270564,0.1438666928,0.01695953435,0.1491059107,0.8702418034,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.25,0.25,0.934,78.28,-0.02486856559,-0.07272787704,1.1675,97.85,-0.03108570699,-0.0909098463,0.2048245614,0.2476588206,0.179833366,0.02119941794,0.1863823883,0.8428985543,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.3,0.3,0.934,78.28,-0.02486856559,-0.07272787704,1.2142,101.764,-0.03232913527,-0.09454624015,0.2457894737,0.2971905847,0.2158000392,0.02543930153,0.223658866,0.8172212271,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.35,0.35,0.934,78.28,-0.02486856559,-0.07272787704,1.2609,105.678,-0.03357256355,-0.098182634,0.286754386,0.3467223488,0.2517667124,0.02967918511,0.2609353437,0.7930620749,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,1.4,0.4,0.934,78.28,-0.02486856559,-0.07272787704,1.3076,109.592,-0.03481599183,-0.1018190279,0.3277192982,0.3962541129,0.2877333856,0.0339190687,0.2982118213,0.7702903206,plateau_or_buffer_regime,recombination_plateau,valid,no
