time,amplitude
25.975,-3657.0
26.0,-4813.0
26.025,-3845.0
26.05,-1890.0
26.075,-296.0
26.1,3483.0
26.125,3477.0
26.15,5147.0
26.175,1766.0
26.2,-2570.0
26.225,5416.0
26.25,5163.0
26.275,2846.0
26.3,8125.0
26.325,5958.0
26.35,5426.0
26.375,8391.0
26.4,8215.0
26.425,7827.0
26.45,7848.0
26.475,7756.0
26.5,5096.0
26.525,7025.0
26.55,14128.0
26.575,10069.0
26.6,4257.0
26.625,6772.0
26.65,8822.0
26.675,8825.0
26.7,-2529.0
26.725,-9399.0
26.75,1125.0
26.775,3412.0
26.8,-3125.0
26.825,-2857.0
26.85,3493.0
26.875,2537.0
26.9,-389.0
26.925,-71.0
26.95,-6383.0
26.975,-6560.0
27.0,-7245.0
27.025,-5494.0
27.05,5340.0
27.075,799.0
27.1,-4861.0
27.125,-5271.0
27.15,-6333.0
27.175,-4267.0
27.2,-3510.0
27.225,5379.0
27.25,3389.0
27.275,-8951.0
27.3,-8685.0
27.325,-7057.0
27.35,-5492.0
27.375,-5896.0
27.4,-7371.0
27.425,-8292.0
27.45,-11105.0
27.475,-11400.0
27.5,-6659.0
27.525,-698.0
27.55,-2022.0
27.575,-4967.0
27.6,-9086.0
27.625,-3622.0
27.65,4683.0
27.675,-5213.0
27.7,-12802.0
27.725,-9449.0
27.75,-8318.0
27.775,-9736.0
27.8,-5066.0
27.825,-8965.0
27.85,-19140.0
27.875,-14090.0
27.9,-5792.0
27.925,-4224.0
27.95,-9588.0
27.975,-6502.0
28.0,-5560.0
28.025,-19717.0
28.05,-14071.0
28.075,-2017.0
28.1,-7532.0
28.125,-10725.0
28.15,-6219.0
28.175,-4113.0
28.2,-5029.0
28.225,-3528.0
28.25,-8834.0
28.275,-15222.0
28.3,-8500.0
28.325,-3313.0
28.35,-4462.0
28.375,-5443.0
28.4,-10594.0
28.425,-9676.0
28.45,-3459.0
28.475,-6998.0
28.5,-6967.0
28.525,-853.0
28.55,-343.0
28.575,-3446.0
28.6,-2350.0
28.625,2935.0
28.65,-778.0
28.675,-2770.0
28.7,-1597.0
28.725,-9401.0
28.75,-4861.0
28.775,1613.0
28.8,-4983.0
28.825,-5348.0
28.85,1585.0
28.875,8884.0
28.9,4167.0
28.925,-1131.0
28.95,4020.0
28.975,-2908.0
29.0,-6385.0
29.025,-697.0
29.05,-2347.0
29.075,3507.0
29.1,9103.0
29.125,3902.0
29.15,3986.0
29.175,9846.0
29.2,5194.0
29.225,4302.0
29.25,5438.0
29.275,-934.0
29.3,11533.0
29.325,11266.0
29.35,-124.0
29.375,12318.0
29.4,14756.0
29.425,5934.0
29.45,7936.0
29.475,15310.0
29.5,14014.0
29.525,6401.0
29.55,9383.0
29.575,16679.0
29.6,13604.0
29.625,10417.0
29.65,14314.0
29.675,11624.0
29.7,9870.0
29.725,12349.0
29.75,9268.0
29.775,7107.0
29.8,5926.0
29.825,4392.0
29.85,7882.0
29.875,14258.0
29.9,10166.0
29.925,1944.0
29.95,5739.0
29.975,6558.0
30.0,807.0
30.025,2121.0
30.05,6119.0
30.075,3674.0
30.1,-1886.0
30.125,-1085.0
30.15,-3116.0
30.175,-2635.0
30.2,1687.0
30.225,-5143.0
30.25,-5310.0
30.275,549.0
30.3,-507.0
30.325,-9464.0
30.35,-11418.0
30.375,-3796.0
30.4,-6009.0
30.425,-9358.0
30.45,-13901.0
30.475,-9264.0
30.5,0.0
30.525,-3500.0
30.55,-5759.0
30.575,-7518.0
30.6,-5998.0
30.625,-4133.0
30.65,-6496.0
30.675,-7862.0
30.7,-8602.0
30.725,-8985.0
30.75,-12258.0
30.775,-7922.0
30.8,-5220.0
30.825,-12029.0
30.85,-7170.0
30.875,-5863.0
30.9,-9856.0
30.925,-4434.0
30.95,-7350.0
30.975,-6986.0
31.0,-4748.0
31.025,-6926.0
31.05,-698.0
31.075,-7325.0
31.1,-13702.0
31.125,-9139.0
31.15,-9241.0
31.175,-7757.0
31.2,-6739.0
31.225,-4293.0
31.25,-833.0
31.275,-3147.0
31.3,-5681.0
31.325,-310.0
31.35,508.0
31.375,-3503.0
31.4,400.0
31.425,3170.0
31.45,927.0
31.475,-8338.0
31.5,-4789.0
31.525,9739.0
31.55,4426.0
31.575,5011.0
31.6,15062.0
31.625,8929.0
31.65,4373.0
31.675,11879.0
31.7,12527.0
31.725,3435.0
31.75,5739.0
31.775,9688.0
31.8,5511.0
31.825,8792.0
31.85,13547.0
31.875,16552.0
31.9,15421.0
31.925,11888.0
31.95,13623.0
31.975,9236.0
32.0,-1601.0
32.025,-2767.0
32.05,6602.0
32.075,8855.0
32.1,7167.0
32.125,7485.0
32.15,2196.0
32.175,1855.0
32.2,113.0
32.225,-2528.0
32.25,4565.0
32.275,-2023.0
32.3,-10932.0
32.325,-2756.0
32.35,446.0
32.375,-6259.0
32.4,-7211.0
32.425,-6652.0
32.45,-10443.0
32.475,-7520.0
32.5,-5633.0
32.525,-5250.0
32.55,267.0
32.575,-4494.0
32.6,-12901.0
32.625,-11911.0
32.65,-12978.0
32.675,-17390.0
32.7,-14463.0
32.725,-8864.0
32.75,-12917.0
32.775,-17426.0
32.8,-14239.0
32.825,-13781.0
32.85,-11227.0
32.875,-10676.0
32.9,-20998.0
32.925,-21848.0
32.95,-17356.0
32.975,-21224.0
33.0,-16105.0
33.025,-11267.0
33.05,-14127.0
33.075,-10763.0
33.1,-10711.0
33.125,-13003.0
33.15,-13742.0
